EventType,MR.GsmNcellBcc,MR.GsmNcellBcch,MR.GsmNcellCarrierRSSI,MR.GsmNcellNcc,MR.LteNcEarfcn,MR.LteNcPci,MR.LteNcRSRP,MR.LteNcRSRQ,MR.LteScCgi,MR.LteScEarfcn,MR.LteScPci,MR.LteScRSRP,MR.LteScRSRQ,MR.UtraCarrierRSSI,MR.UtraCellParameterId,MR.UtraCpichEcNo,MR.UtraCpichRSCP,MmeCode,MmeGroupId,MmeUeS1apId,TimeStamp,endTime,fileFormatVersion,id,jobid,period,reportTime,startTime
A3,NIL,NIL,NIL,NIL,1650,349,56,3,46000077256611,19650,350,57,6,NIL,NIL,NIL,NIL,194,39424,436248906,2017-11-06T01:15:02.705,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,3,46000077256611,19650,350,54,9,NIL,NIL,NIL,NIL,194,39424,167784974,2017-11-06T01:15:02.706,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,4,46000077256611,19650,350,39,2,NIL,NIL,NIL,NIL,194,39424,352370242,2017-11-06T01:15:02.783,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,52,9,46000077256611,19650,350,51,8,NIL,NIL,NIL,NIL,194,39424,469789699,2017-11-06T01:15:03.110,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,324,28,9,46000077256611,19650,350,25,5,NIL,NIL,NIL,NIL,194,39424,3511,2017-11-06T01:15:03.205,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,50,11,46000077256611,19650,350,52,9,NIL,NIL,NIL,NIL,194,39424,352365668,2017-11-06T01:15:03.269,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,7,46000077256611,19650,350,60,6,NIL,NIL,NIL,NIL,194,39424,167785363,2017-11-06T01:15:03.353,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,48,9,46000077256611,19650,350,45,5,NIL,NIL,NIL,NIL,194,39424,469835207,2017-11-06T01:15:03.534,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,54,2,46000077256611,19650,350,54,8,NIL,NIL,NIL,NIL,194,39424,167820113,2017-11-06T01:15:03.577,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,56,6,46000077256611,19650,350,56,7,NIL,NIL,NIL,NIL,194,39424,436233323,2017-11-06T01:15:03.618,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,6,46000077256611,19650,350,39,3,NIL,NIL,NIL,NIL,194,39424,352378921,2017-11-06T01:15:03.743,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,59,5,46000077256611,19650,350,60,4,NIL,NIL,NIL,NIL,194,39424,167811495,2017-11-06T01:15:04.223,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,52,8,46000077256611,19650,350,51,6,NIL,NIL,NIL,NIL,194,39424,469827800,2017-11-06T01:15:04.382,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,47,9,46000077256611,19650,350,45,4,NIL,NIL,NIL,NIL,194,39424,469834567,2017-11-06T01:15:04.404,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,55,1,46000077256611,19650,350,56,6,NIL,NIL,NIL,NIL,194,39424,436234813,2017-11-06T01:15:04.568,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,54,1,46000077256611,19650,350,54,7,NIL,NIL,NIL,NIL,194,39424,167834407,2017-11-06T01:15:04.646,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,5,46000077256611,19650,350,40,3,NIL,NIL,NIL,NIL,194,39424,352372051,2017-11-06T01:15:04.677,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,50,9,46000077256611,19650,350,53,8,NIL,NIL,NIL,NIL,194,39424,352342419,2017-11-06T01:15:04.887,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,55,1,46000077256611,19650,350,58,7,NIL,NIL,NIL,NIL,194,39424,352373757,2017-11-06T01:15:04.992,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,5,46000077256611,19650,350,60,4,NIL,NIL,NIL,NIL,194,39424,167830008,2017-11-06T01:15:05.090,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,47,9,46000077256611,19650,350,44,4,NIL,NIL,NIL,NIL,194,39424,469838980,2017-11-06T01:15:05.292,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,55,1,46000077256611,19650,350,56,4,NIL,NIL,NIL,NIL,194,39424,436233301,2017-11-06T01:15:05.496,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,0,46000077256611,19650,350,54,7,NIL,NIL,NIL,NIL,194,39424,167834884,2017-11-06T01:15:05.538,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,3,46000077256611,19650,350,40,1,NIL,NIL,NIL,NIL,194,39424,352336647,2017-11-06T01:15:05.589,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,51,6,46000077256611,19650,350,50,5,NIL,NIL,NIL,NIL,194,39424,469816255,2017-11-06T01:15:05.673,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,59,4,46000077256611,19650,350,60,7,NIL,NIL,NIL,NIL,194,39424,167818849,2017-11-06T01:15:05.961,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,45,7,46000077256611,19650,350,45,6,NIL,NIL,NIL,NIL,194,39424,469840971,2017-11-06T01:15:06.334,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,55,3,46000077256611,19650,350,56,7,NIL,NIL,NIL,NIL,194,39424,436242402,2017-11-06T01:15:06.429,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,50,9,46000077256611,19650,350,53,10,NIL,NIL,NIL,NIL,194,39424,352344831,2017-11-06T01:15:06.505,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,6,46000077256611,19650,350,39,3,NIL,NIL,NIL,NIL,194,39424,352382777,2017-11-06T01:15:06.553,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,52,2,46000077256611,19650,350,55,10,NIL,NIL,NIL,NIL,194,39424,167806770,2017-11-06T01:15:06.670,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,6,46000077256611,19650,350,60,8,NIL,NIL,NIL,NIL,194,39424,167794318,2017-11-06T01:15:06.834,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,11,46000077256611,19650,350,52,9,NIL,NIL,NIL,NIL,194,39424,469838527,2017-11-06T01:15:06.921,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A1,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,46000077256611,19650,350,37,9,NIL,NIL,NIL,NIL,194,39424,3511,2017-11-06T01:15:07.029,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,45,7,46000077256611,19650,350,44,6,NIL,NIL,NIL,NIL,194,39424,469836183,2017-11-06T01:15:07.184,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,56,5,46000077256611,19650,350,56,7,NIL,NIL,NIL,NIL,194,39424,436223212,2017-11-06T01:15:07.380,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,6,46000077256611,19650,350,39,3,NIL,NIL,NIL,NIL,194,39424,352378253,2017-11-06T01:15:07.496,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,8,46000077256611,19650,350,60,11,NIL,NIL,NIL,NIL,194,39424,167812992,2017-11-06T01:15:07.763,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,54,6,46000077256611,19650,350,55,11,NIL,NIL,NIL,NIL,194,39424,167786127,2017-11-06T01:15:07.843,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,45,8,46000077256611,19650,350,44,8,NIL,NIL,NIL,NIL,194,39424,469802615,2017-11-06T01:15:08.042,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,50,11,46000077256611,19650,350,52,11,NIL,NIL,NIL,NIL,194,39424,352362944,2017-11-06T01:15:08.124,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,11,46000077256611,19650,350,52,9,NIL,NIL,NIL,NIL,206,39424,469817487,2017-11-06T01:15:08.165,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,56,5,46000077256611,19650,350,56,8,NIL,NIL,NIL,NIL,194,39424,436235127,2017-11-06T01:15:08.327,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,5,46000077256611,19650,350,39,3,NIL,NIL,NIL,NIL,210,39424,352376749,2017-11-06T01:15:08.455,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,59,6,46000077256611,19650,350,60,6,NIL,NIL,NIL,NIL,194,39424,167828886,2017-11-06T01:15:08.649,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,3,46000077256611,19650,350,55,12,NIL,NIL,NIL,NIL,194,39424,167835662,2017-11-06T01:15:08.790,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,56,5,46000077256611,19650,350,56,9,NIL,NIL,NIL,NIL,194,39424,436269035,2017-11-06T01:15:09.274,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
